code,name,price,on_hand,serial_count,serials,brand,series,cpu,ram,storage,main_image,public_cats
10A8A06QAU,ThinkCentre M93p,30.0,5.0,5,PC04HDC3;PC04HDCY;PC0BC6XN;PC0BC6Y4;PC0D6AYM,Lenovo,ThinkCentre M93p,i5-4570 CPU @ 3.20GHz,8GB,500GB SSD,True,Desktops & Mini PCs
10AXS27900,ThinkCentre M73,85.0,3.0,3,S4F94406;S4F94497;S4F94591,Lenovo,ThinkCentre M73,i5-4570T CPU @ 2.90GHz,8GB,500GB SSD,True,Desktops & Mini PCs
10MLS15E00-4G-256G-N,ThinkCentre M910s,85.0,1.0,1,PC0MLPES,Lenovo,ThinkCentre M910s,i5-6500,4GB,256GB SSD,True,Desktops & Mini PCs
10MLS15E00-8G-500G-N,ThinkCentre M910s,99.0,5.0,5,PC0XSULA;PC0XSULU;PC0XSULV;PC0XSULX;PC0XSUM5,Lenovo,ThinkCentre M910s,i5-6500,8GB,500GB SSD,True,Desktops & Mini PCs
10MLS1BU00,ThinkCentre M910s,90.0,15.0,15,PC0MMR4N;PC0MMR4Z;PC0PDVKR;PC0PDVKV;PC0PDVKW;PC0Q4YH2;PC0Q4YH5;PC0Q4YHH;PC0Q4YHL;PC0Q4YJK;PC0Q4YJS;PC0Q4YJV;PC0S68KZ;PC0S68LV;PC0S68MC,Lenovo,ThinkCentre M910s,i5-6500,8GB,500GB SSD,True,Desktops & Mini PCs
30B4S1QA00,Lenovo Thinkstation P510,120.0,3.0,3,S/N-30B4S1QA00-001;S/N-30B4S1QA00-002;S/N-30B4S1QA00-003,Lenovo,,Intel(R) Xeon(R) CPU E5-1620 v4 @ 3.50GHz,8GB,1TB HDD,True,Desktops & Mini PCs
30B4S3WF00,Lenovo Thinkstation P510,100.0,2.0,2,S/N-30B4S3WF00-001;S/N-30B4S3WF00-002,Lenovo,,Intel(R) Xeon(R) CPU E5-1607 v4 @ 3.10GHz,8GB,500GB HDD,True,Desktops & Mini PCs
4518PT1,ThinkCentre M91p SFF,50.0,3.0,3,PBMDFX6;R8LD26K;PBMDFG4,Lenovo,ThinkCentre M91p,i5-2400 CPU @ 3.10GHz,8GB,250GB SSD,True,Desktops & Mini PCs
5536RE5,Lenovo ThinkCentre M90P SFF,20.0,3.0,3,R8X18MA;R85PRX4;R89HGV2,Lenovo,,i5 CPU 650 @ 3.20GHz,4GB,250GB SSD,True,Desktops & Mini PCs
RW-10MLS1BU00,Lenovo ThinkCentre M910s,90.0,0.0,0,,Lenovo,ThinkCentre M910s,,,,True,Desktops & Mini PCs
RW-10MLS5RS00,Lenovo ThinkCentre M910s,90.0,0.0,0,,Lenovo,ThinkCentre M910s,,,,True,Desktops & Mini PCs
Y3A52AV,Hp Pro desk 600 G3 6th Gen,80.0,0.0,0,,Lenovo,,Intel(R) Core(TM) i5-6500T CPU @ 2.50GHz,8GB,500GB HDD,True,Desktops & Mini PCs
20L8SBL100,ThinkPad T480s,180.0,3.0,3,PC13Z0YF;PC13Z0XV;PC14S09X,Lenovo,ThinkPad T480s,i5-8250U,8GB,256GB SSD,True,Laptops
20L8SDCE00,ThinkPad T480s,190.0,3.0,3,PC14S04N;PC14S0A6;PC14S1KN,Lenovo,ThinkPad T480s,i5-8250U,8GB,256GB SSD,True,Laptops
20NYS4CP00,ThinkPad T490s,190.0,0.0,0,,Lenovo,ThinkPad T490s,i5-8265U @ 1.6GHz,8GB,,True,Laptops
