section,default_code,title_raw,brand,quantity,cost_ex,condition_note,unit_identifiers,row_note
Laptops,20TJS5WW00,"Re-Ware Lenovo P1 Gen 3  i9-10885H CPU @ 2.40GHz, 512Gb, 32GB RAM",Lenovo,1,800.0,,,
Laptops,20T1S6C300,"Re-Ware Lenovo - T14s Gen 1 I5-102IOU@1.6GHZ, 512 SSD, 8GB RAM, TOUCHSCREEN, WAN ENABLED, W11P",Lenovo,1,230.0,,,
Laptops,20T0003UAU,"Re-Ware Lenovo - T14S I5-10210U, 14.0"" FHD IPS TOUCH, 256GB SSD, 16GB, 4G LTE, IR CAM, W11P",Lenovo,1,250.0,,,
Laptops,20WN0025AU,"Re-Ware ThinkPad T14s Gen 2i, 11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz, 256GB, 16GB",Lenovo,1,330.0,,,
Laptops,20W4004TAU,"Re-Ware Lenovo - T15 I7 @2.8GHZ, 512GB SSD, 16GB RAM, TOUCHSCREEN, WAN ENABLED - Numeric Keypad",Lenovo,1,450.0,,,
Laptops,20WNS6LL00,"Re-Ware Lenovo - T14s I5-1135G7@2.4GHZ, 256 SSD, 16GB RAM, TOUCHSCREEN, WAN ENABLED",Lenovo,1,355.0,,,
Laptops,20L8SDCE00,Re-Ware Lenovo T480s,Lenovo,1,190.0,,,
Laptops,20WNA07YAU,"Re-Ware Lenovo T14s Gen 2i, i5-1135G7 @ 2.40GHz, 16Gb, 256Gb, Long Premiere Support",Lenovo,1,350.0,,,
Laptops,CF 54 Mk 3,"Re-Ware Panasonic Toughbook CF54-3 Intel(R) Core(TM) i5-7300U CPU @ 2.60GHz, 500GB, 8GB RAM",Panasonic,1,550.0,,,
Laptops,FZ55-1,"Re-Ware Panasonic toughbook FZ55-1  Intel(R) Core(TM) i5-8365U CPU @ 1.60GH,z 500GB HD, 8GB RAM",Panasonic,1,600.0,,,
Laptops,20NYS4CP00,"Re-Ware Re-ware Lenovo - T490s I5 8265U @ 1.6GHz, 8GB RAM, 256SSD, TOUCH SCREEN, WAN ENABLED",Lenovo,1,190.0,,,
Laptops,LAT3301,"Re-Ware Dell Latitude 3301 Laptop Intel(R) Core(TM) i7-8565U CPU @ 1.80GHz, 512GB HDD, 8GB",Dell,10,200.0,,,
Laptops,LAT5590,"Re-Ware Dell Latitude 5590, i5-8250U CPU @ 1.60GHz, 256GBSSD, 16GB RAM",Dell,7,200.0,,,
Laptops,LAT5591,"Re-Ware Dell Latitude 5590, i5-8250U CPU @ 1.60GHz, 256GBSSD, 8GB RAM",Dell,2,180.0,,,
Laptops,LATE7470,"Re-Ware Dell Latitude E7470, i5-6200U CPU @ 2.30GHz, 256GBSSD, 8GB RAM",Dell,2,100.0,,,
Docks,40AJ0135AU,Re-Ware Lenovo ThinkPad USB 3.0 Ultra Dock 40A8 DisplayPort HDMI Ethernet,Lenovo,1,25.0,,,
Docks,40AF0135AU,Re-Ware Lenovo THINKPAD HYBRID USB-C WITH USB-A DOCK (3XUSB3.0/2XUSB2.0/1XUSB-C/2XDP/2XHDMI) DOCK,Lenovo,1,70.0,,,
Docks,3FF69AA,Re-Ware HP USB-C Dock G4,HP,1,60.0,,,
Docks,26D32AA,Re-Ware HP USB-C Dock G5,HP,9,80.0,,,
Desktops,30B4S3WF00,"Re-Ware Lenovo Thinkstation P510 Intel(R) Xeon(R) CPU E5-1607 v4 @ 3.10GHz, 500GB HD, 8GB RAM",Lenovo,2,200.0,,,
Desktops,30B4S1QA00,"Re-Ware Lenovo Thinkstation P510 Intel(R) Xeon(R) CPU E5-1620 v4 @ 3.50GHz,1TB HD, 8GB RAM",Lenovo,3,210.0,,,
Desktops,RW-Y3A52AV,"Re-Ware Hp Pro desk 600 G3 6th Gen I5 6500T, 500Gb, 8Gb",HP,1,150.0,,8CG8222L72,
Desktops,RW-T1D55PA#ABG,"Re-Ware HP 800 Prodesk G2 SFF 6th gen I7-6700, 256Gb, 8Gb, 4 cores @3.4Ghz",HP,1,100.0,,AUD702OF4Y,
Desktops,RW-10AXS27900,"Re-Ware Lenovo M73 Tiny 4th gen i5-4570T, 500Gb, 8Gb",Lenovo,4,85.0,,S4F944497|S4F94406|S4F94591|S4F94584,
