product_name,target_code,target_id,donor_code,donor_id,donor_count_in_group
ThinkCentre M910s,10MLS5RS00-4G-256G-N-CMOSP,825,10MLS1BU00,767,4
ThinkCentre M910s,10MLS5RS00-8G-500G-N-CMOSP,826,10MLS1BU00,767,4
ThinkPad P1 Gen 3,20TJS5WW00-BT70-CMOSP,841,20TJS5WW00-BT70,815,1
ThinkPad T14s Gen 1,20T1S6C300-BT70-CMOSP,839,20T1S6C300-BTU70,814,1
ThinkPad T14s Gen 1,20T1S6C300-BTU70-CMOSP,840,20T1S6C300-BTU70,814,1
ThinkPad T15 Gen 2i,20W4004TAU-BT70-CMOSP,842,20W4004TAU-BT70,816,1
ThinkPad T480s,20L8SBL100-BTU70-CMOSP,828,20L8SBL100-BTU70,806,2
ThinkPad T480s,20L8SDCE00-BTU70-CMOSP,829,20L8SBL100-BTU70,806,2
ThinkPad T490s,20NYS4CP00-8G-256G-T-BT70-CMOSP,831,20NYS4CP00-8G-512G-T-BTU70,811,1
ThinkPad T490s,20NYS4CP00-8G-256G-T-BTU70-CMOSP,833,20NYS4CP00-8G-512G-T-BTU70,811,1
ThinkPad T490s,20NYS4CP00-8G-512G-T-BT70-CMOSP,835,20NYS4CP00-8G-512G-T-BTU70,811,1
ThinkPad T490s,20NYS4CP00-8G-512G-T-BTU70-CMOSP,836,20NYS4CP00-8G-512G-T-BTU70,811,1
